District Number,Full Name,Capitol Office Address,Capitol Office Phone Number,District Office Address,District Office Phone Number,Contact Page URL,biography,Member Page URL,Biography URL,Picture URL,Legislation Authored (including Joint) URL,Legislation Co-Authored URL,Legislation Sponsored (including Joint) URL,Legislation Co-Sponsored URL
1,Gary VanDeaver,"Room E1.304, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0692,"Bowie County Courthouse, 710 James Bowie Drive, New Boston, Texas 75570",(903) 628-0361,https://house.texas.gov/members/2540/email,"Rep. Gary VanDeaver is serving his sixth term as the state Representative for Texas House District 1 for Bowie, Cass, Lamar, Morris and Red River counties. He appreciates the opportunity to serve Texans in Northeast Texas and work hard on their behalf before, during and after legislative sessions.
Committee assignments. House Speaker Dustin Burrows appointed Rep. VanDeaver to serve on these House Committees for the 89th session:
House Committee on Public Health – he also served as chair of this important committee that, in addition to many other bills, heard and passed out House Bill 18 (89th, R), also known as Rural Health Stabilization and Innovation Act, which was filed by Chair VanDeaver. HB 18 is designed to bring resources, program guidance, grant programs and continuing education opportunities to rural hospitals so they can maximize their limited resources to continue serving people who live in and travel through rural Texas.
House Committee on Higher Education – after Chair VanDeaver’s important work in the 88th session in 2023 filing and passing House Bill 8 (88th, R) that revamped the state’s community college finance system, he appreciated the opportunity to serve on this committee to delve even deeper into the issues and challenges in the broader higher education systems and communities.
Bills filed & passed. Over the last 10 years serving in the House of Representatives, Gary has passed legislation specifically for interests in HD 1 including bills relating to the election of trustees for Paris Junior College; exemptions for counties from the state’s motor fuels tax; appointment of bailiffs in Bowie County courts; additional powers for TexAmericas Center; a bill allowing honorably retired peace officers to be buried in their uniforms; as well as bills to align student completion of courses in high-demand, high-skilled and high-wage programs in career and technical education with the state's accountability system. This session’s HB 18 will also provide much-needed medical resources for HD 1.
Personal information. Raised on a small family cattle operation near Clarksville, Texas, in Red River County, Gary learned the importance of a strong work ethic, a love for the land and faith in God from an early age. Traditional values and a commitment to service continue to drive Gary in his daily work on behalf of the families and communities of his district. Inspired by a deep- seated belief in serving others and investing in our rising generations, Gary embarked on a 33year career as an educator. After beginning his career as a vocational agriculture teacher, he became a school principal and completed a Doctorate in Educational Administration. He last served as Superintendent of New Boston Independent School District before his initial election to the Texas House in 2014.
Gary and his wife, Pamela, have been married for 41 years. Their two grown daughters carry on the family tradition of public service as a school teacher and criminal prosecutor. The VanDeavers also have two granddaughters and a grandson. Locally, Gary is involved with the Chamber of Commerce and Lions Club, having served as president of both. He also served on the Board of Directors of the Texas FFA, Red River County Farm Bureau, Bogata Rodeo Association and Red River County Fair Association. The VanDeavers are members of the First Baptist Church of New Boston, where Gary serves as a deacon and teaches adult Sunday school.",https://house.texas.gov/members/member-page/?district=1,https://house.texas.gov/members/2890/biography,https://house.texas.gov/images/members/2890.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A2540,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A2540,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A2540,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A2540
2,Brent Money,"Room E2.414, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0880,"220 Burnett Trail, Canton, Texas 75103",,https://house.texas.gov/members/4670/email,"State Representative Brent Money serves Texas House District 2, representing Hunt, Hopkins, and Van Zandt counties. A sixth – generation Texan, he is a lawyer, business owner, and dedicated public servant. Brent and his high school sweetheart, Heidi, have been married for over 24 years and are proud parents of five children. Guided by the principle of leaving things better than he found them, Brent is committed to serving the people of Texas, championing common-sense policies, and defending the values Texans hold dear.",https://house.texas.gov/members/member-page/?district=2,https://house.texas.gov/members/4670/biography,https://house.texas.gov/images/members/4670.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A4670,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A4670,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A4670,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A4670
3,Cecil Bell Jr.,,,,,,"Representative Cecil Bell, Jr. is a sixth generation Texan whose family has been in the State of Texas since 1852. The oldest of three siblings, he was born in Rosenberg but was raised all across Texas.A 2009 Ernst & Young Entrepreneur of the Year Finalist for the Southwest Region, Representative Bell serves as the CEO of nine active enterprises, providing clients with a variety of services and creating jobs for Texans.Cecil’s cow/calf ranching operations, located in Leon and Freestone Counties, demonstrate his personal commitment to his Texas heritage and to agriculture in Texas.Through the years, Rep. Bell, Jr. has been really involved in his community. He has served as the Chairman of the Greater Magnolia Economic Development Partnership and was president of the Magnolia ISD School Board of Trustees. He is a charter member of the local Rotary  and he also supports his local Future Farmers of America (FFA), youth clubs, area churches, and community organizations. As a Life Member of the National Rifle Association (NRA) and the Texas State Rifle Association (TSRA), Cecil Bell, Jr. believes in our 2nd Amendment right to have and bear arms.This is Rep. Bell's fifth Session in the Texas Legislature. He currently serves as Chair of the House Appropriations Sub-Committee on Strategic Fiscal Rev. & Fed. Relief Funds and Vice Chair of the House Appropriations Committee for Articles VI, VII, and VIII. In addition, he sits on the House Committee on International Relations and Economic Development. Throughout his years at the Legislature, he  worked on dual credit access to career and technology courses; ensured Prairie View A&M University's eligibility to use unexpended balances for the Center for Study and Prevention of Juvenile Crime and Delinquency; updated the definition of first responder to include our vitally important and hard working emergency response operators and emergency services dispatchers; and authorized a property owner to request a protest hearing notice to be delivered by certified mail or email. Rep. Bell also authored legislation to combat inadequate landfill permitting like the proposed landfill in Hempstead and legislation to protect the rights of property owners in an eminent domain proceeding.Cecil met his high school sweetheart and now-wife, Jo Ann, at the 1979 National Meeting of the Beta Club Honor Society. The Bells moved to Magnolia in 1993. He and Jo Ann have two boys. Cecil “Trey” Bell, III and Charlie Bell. The Bell family attends the Magnolia Church of Christ, where Cecil served many years as a Deacon.",https://house.texas.gov/members/member-page/?district=3,https://house.texas.gov/members/2335/biography,https://house.texas.gov/images/members/2335.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A2335,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A2335,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A2335,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A2335
4,Keith Bell,"Room E2.508, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0458,"100 E. Corsicana Street, Suite 204, Athens, Texas 75751",(903) 675-3069,https://house.texas.gov/members/3695/email,"A lifelong Texan, State Representative Keith Bell resides in Forney, Texas. Before being elected to represent House District 4 in November 2018, Keith served as a trustee on the Forney ISD School Board for 20 years, elected as president for fourteen times. Keith Bell has been in the electrical field since 1976. He founded Intex Electrical Contractors, Inc. in November, 1983 and serves as CEO/President.Keith holds a Master Electrician’s License in the State of Texas and served the Texas Department of Licensing and Regulation, as past chairman of the Texas Electrical Safety and Licensing Advisory Board. He is also active in numerous trade organizations, including the Independent Electrical Contractors Association (IEC), where he was elected to a two-year term as President of the Dallas Chapter of the IEC, and later served as the Texas IEC Chapter President. Before taking office, Representative Bell acted as IEC of Texas’ Governmental Affairs Chairman for almost two decades. Bell also serves on the Board of Directors at Baylor Scott & White Hospital-Sunnyvale.A graduate of Dallas Baptist University with a Bachelor in Business Studies, Keith and his wife, Annette, have been married for over 40 years. They have two grown daughters, six grandchildren, and are members of First Baptist Church of Forney.Representative Bell applies his conservative values, successful business skills and extensive public education knowledge to address skyrocketing property taxes, protect private property rights, local control and to act as champion for our local public schools.Representative Bell represents House District 4, encompassing Kaufman and Western Henderson counties.",https://house.texas.gov/members/member-page/?district=4,https://house.texas.gov/members/3695/biography,https://house.texas.gov/images/members/3695.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A3695,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A3695,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A3695,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A3695
5,Cole Hefner,"Room E2.610, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0271,"115 W. 1st Street, Mount Pleasant, TX 75455",(903) 717-8238,https://house.texas.gov/members/3505/email,"Cole Hefner was born and raised in East Texas and currently resides in Mount Pleasant. He has been representing the people of House District Five since 2017. District Five encompasses Camp, Rains, Titus, Upshur, Wood, and parts of Smith counties.Before being elected to the Texas House of Representatives, Cole served as County Commissioner for Upshur County. He also owned his own construction business for 16 years and eventually took over his family's commercial construction company. Currently, Cole is a small business owner in the insurance industry. He is actively involved in his community and is a member of the Lindale Chamber of Commerce, the Hide-A-Way Lake Kiwanis Club, and South Jefferson Baptist Church.Cole has served on various committees during his time in the Texas House, including the Appropriations, Calendars, and Ways & Means committees. Currently, he is a member of the Public Education Committee, Ways & Means Committee, Select Committee on Educational Opportunity and Enrichment, and Calendars Committee. His experience in public service and private industry has given him a deep understanding of the need to reduce government intrusion into the lives and businesses of Texans.Cole has been happily married to his wife, Kerri, since 2002, and they are blessed with seven wonderful children.",https://house.texas.gov/members/member-page/?district=5,https://house.texas.gov/members/3505/biography,https://house.texas.gov/images/members/3505.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A3505,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A3505,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A3505,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A3505
6,Daniel Alders,,,,,,"Representative Daniel Alders is serving his first term as State Representative for House District 6. His district is entirely within Smith County, containing the communities of Arp, Bullard, Emerald Bay, New Chapel Hill, Noonday, Troup, Whitehouse, and the City of Tyler.
A 7th generation Texan, Daniel grew up in rural East Texas on a family farm in Nacogdoches County, where his family’s roots can be traced back to 1836. After graduating from New Saint Andrews College in Moscow, Idaho with a Liberal Arts degree, Daniel married his wife, Joanna. A year later they moved back to East Texas, where he began his real estate career. In 2015 they moved to Tyler where Daniel served as the East Texas Regional Director for Senator Ted Cruz, acting as the Senator’s primary liaison to business owners, organizations, community leaders, and constituents across a thirty-five county region.
In 2017, Daniel switched back to the private sector as the Executive Property Manager and President of Drake Management Services, and continued to be active in the Tyler community. He served as chairman of the Tyler Area Chamber of Commerce Government Affairs committee, as well as Chairman of the Tyler Chapter of the Texas Public Policy Foundation's Liberty Leadership Council (LLC) Program. He is also on the diaconate at Fifth Street Presbyterian Church and on Unbound Now’s Smith County Advisory Board. 
Daniel and Joanna are the proud parents of two daughters, Trinity and Madeleine.",https://house.texas.gov/members/member-page/?district=6,https://house.texas.gov/members/4400/biography,https://house.texas.gov/images/members/4400.jpg?v=1,,,,
7,Jay Dean,"Room GN.11, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0750,"101 E. Methvin, Suite 103, Longview, Texas 75601",903-238-8452,https://house.texas.gov/members/3515/email,"Since 2017, Jay Dean has served as State Representative for House District 7 in East Texas. From when he was elected until 2022, House District 7 included Gregg and Upshur Counties. As of 2023, the district includes Gregg, Harrison, and Marion Counties.Before serving in the State House, Jay served as Mayor of Longview for a decade and on the Longview City Council for 5 years prior to that.  Under his leadership, Forbes Magazine recognized Longview as one of the ""best places for business"" and it was ranked one of the top 10 U.S. cities for economic growth.A lifelong conservative, Jay is a strong advocate for cutting the size of government, responsible budgeting, creating business-friendly environments that support job creation and economic development, and low tax rates, as well as strengthening public education and workforce training, supporting the right to life, and protecting the 2nd Amendment.In addition to his public service, Jay has also been a successful small business owner and executive in the oil & gas field services industry.  Having previously run his own business, Jay now serves as General Manager for Thomas Oilfield Services. Jay is a proud graduate of Louisiana State University and resides in Longview with his wife Pokie, where they raised their three daughters and helped found their church, St. Matthew's.",https://house.texas.gov/members/member-page/?district=7,https://house.texas.gov/members/3515/biography,https://house.texas.gov/images/members/3515.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A3515,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A3515,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A3515,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A3515
8,Cody Harris,"Room E2.504, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0730,"519 N Sycamore, Palestine, TX 75801",(903) 731-4005,https://house.texas.gov/members/3580/email,"A 5th generation resident of East Texas, Cody Harris’ conservative values are deeply rooted in Texas House District 8. His ancestors settled in Freestone County after the Civil War and his great-grandfather was the last operator of the Wildcat Ferry on the Trinity River at Cayuga.With an extensive background in real estate and banking, Harris is a graduate of Texas A&M University and the Texas Agricultural Lifetime Leadership (TALL) Program.A member of the Texas House of Representatives since 2019, Harris currently serves as the Chair of the Local & Consent Calendars Committee. He also serves on the House Agriculture & Livestock Committee, Public Education Committee, House Administration Committee, and the Select Committee on Educational Opportunity & Enrichment. In the 87th Legislature, Harris was the House Chair of the State Water Infrastructure Fund Advisory Committee, Vice-Chair of the House Natural Resources Committee, and a member of the House Transportation and Calendars Committees. In his first term, Harris served on the House Energy Committee, Natural Resources Committee, Local & Consent Calendars Committee, and the House Republican Caucus Policy Advisory Committee. He is a member of the Texas Nuclear Caucus, Texas Water Caucus, House Information & Technology Caucus, Texas Conservative Coalition, House Republican Caucus, and he was recently appointed to the Energy Council.Cody and his wife Taylor are proud parents to three sons and a daughter. The family is active at First Baptist Church where Cody serves as a Deacon. Before being elected, Harris served on the Palestine Area Chamber of Commerce Board of Directors, as member and President of the Palestine YMCA Board of Directors, President of the Palestine Young Professionals Network, volunteer for Palestine YMCA Youth & Government, and volunteer for Palestine ISD Business Mentor Program.",https://house.texas.gov/members/member-page/?district=8,https://house.texas.gov/members/3580/biography,https://house.texas.gov/images/members/3580.jpg?v=3,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A3580,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A3580,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A3580,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A3580
9,Trent Ashby,"Room E2.806, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0508,"2915 Atkinson Dr., Lufkin, TX 75901",(936) 634-2762,https://house.texas.gov/members/2330/email,"Representative Trent Ashby was sworn into the Texas House of Representatives in January 2013. His district is comprised of Angelina, Houston, Polk, San Augustine, Trinity, and Tyler Counties. He currently serves as Chair of the House Committee on Culture, Recreation & Tourism, and is a member on the House Transportation Committee. In prior sessions, Trent has served as a member of the House Committees on Appropriations, Administration, Calendars, Defense & Veterans' Affairs, Natural Resources, and Public Education. He was recognized by his colleagues in the Republican Caucus as the Freshman of the Year at the completion of his first session, and was selected after his second session as the Most Valuable Sophomore in the Texas House by Capitol Inside.Born and raised on a dairy farm and diversified livestock operation in Rusk County, Ashby is proud of his rural background and upbringing. He is a graduate of Henderson High School and was named one of their distinguished alumnus in 2014. Trent is a graduate of Texas A&M University with a bachelor's degree in Agricultural Economics. While at A&M, he was elected to the Student Senate, Class Treasurer, and Senior Yell Leader. He continues to be involved with his alma mater through the Texas A&M Letterman's Association and Association of Former Students.Today, Trent is Senior Vice President for VeraBank. He and his wife, Nickie, live in Lufkin with their two sons - Garin and Grant. Prior to being elected to the Legislature, Ashby served as President of the Lufkin ISD Board of Trustees. Both he and Nickie are very active in their community, as well as their church, Harmony Hill Baptist Church.",https://house.texas.gov/members/member-page/?district=9,https://house.texas.gov/members/2330/biography,https://house.texas.gov/images/members/2330.jpg?v=1,,,,
10,Brian Harrison,,,,,,"Brian Harrison is a passionate and effective advocate for limited government and individual liberty who proudly represents House District 10, which covers all of Ellis County. A native Texan and graduate of Ovilla Christian School, Brian and his family have long been involved in Ellis County.During the Trump Administration, Brian served as the Chief of Staff at the U.S. Department of Health and Human Services (HHS), the largest government agency in the world with a budget of over $1.4 trillion and 25 divisions, where he led a staff of over 85,000 employees.Under his leadership, HHS protected the unborn, secured the border, increased private health insurance options, advanced government policies that decreased costs, protected patients, increased transparency and accountability, inserted free market forces into the healthcare sector, and responded to the COVID-19 pandemic. He successfully led historic deregulatory efforts such as sunsetting almost 20,000 regulations, ending unfair taxes, eliminating harmful programs, instituting a taxpayer accountability board, and creating term limits for senior career officials. His actions have been projected to save billions of dollars.Brian has also held positions at other federal agencies. These include working on sensitive intelligence issues at the U.S. Department of Defense, managing complex domestic and worldwide operations for the Vice President, and serving in the office of the Commissioner at the U.S. Social Security Administration.Small business is the backbone of the American economy, and Brian has worked with his wife and father in multiple small, family-run businesses in Texas. He has also worked as an independent consultant for various clients, as a director at a public affairs firm helping oversee their healthcare portfolio, and is an alumni of the American Council on Germany’s Young Leaders program.A frequent guest on national TV, Brian has gained a reputation for bold, conservative leadership across Texas and America. He has been published in the Wall Street Journal, New York Times, Newsweek, and many other major publications.As an effective defender of liberty, freedom, and limited government, Brian successfully led the fight against COVID vaccine mandates, ended Texas taxpayer funding of the Marxist-led American Library Association, expanded educational opportunities in Ellis County, and spearheaded coalitions to fight unconstitutional federal overreach.Brian is a proud member of the fightin’ Texas Aggie class of 2004, where he earned a Bachelor of Science degree in Economics and also studied Business Administration and Political Science. He is an instrument-rated private pilot who lives in Ellis County, TX with his wife, Tara, and their four children.",https://house.texas.gov/members/member-page/?district=10,https://house.texas.gov/members/4085/biography,https://house.texas.gov/images/members/4085.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A4085,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A4085,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A4085,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A4085
11,Joanne Shofner,"Room E1.208, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0592,"202 East Pilar Street, Room 310, Nacogdoches, Texas 75961",(936) 585-6802,https://house.texas.gov/members/4755/email,,https://house.texas.gov/members/member-page/?district=11,https://house.texas.gov/members/4755/biography,https://house.texas.gov/images/members/4755.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A4755,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A4755,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A4755,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A4755
12,Trey Wharton,"Room E1.312, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0412,"2503 Lake Road, Suite A-100, Huntsville, TX 77340",(936) 649-0510,https://house.texas.gov/members/4795/email,"Rep. Trey Wharton has dedicated over three decades to serving the Huntsville community in various leadership roles. He proudly served on the Huntsville Independent School Board for eight years, including three years as Board President, where he championed education initiatives and fostered meaningful connections between schools and the community. While serving as a Huntsville School Board Trustee, he also contributed three years of service to the Huntsville Memorial Community Board of Directors where he supported efforts to enhance healthcare services in the region. Trey also served as a board member and, later, as Chair of the Huntsville Walker County Chamber of Commerce, working to enhance the economic success of businesses in Walker County. Trey has been an active leader within numerous local organizations, including various church committees, Huntsville Boys Baseball, and the YMCA.After graduating from Huntsville High School, Trey went on to attend Texas Christian University, where he earned a Bachelor of Business Administration in Finance. He began his professional career in the banking industry before founding the Wharton Insurance Network in 1991. Through hard work, integrity, and a commitment to excellent customer service, he has built a thriving business that continues to serve individuals and families in Walker County and surrounding areas.Trey’s dedication to his community is matched by his deep commitment to his family and faith. He has been married to JoLynne for 35 years. They have two children and a granddaughter. The Whartons are members of Northside Baptist Church in Huntsville.Sworn in during the 89th Texas Legislature to represent House District 12, Rep. Wharton serves on the House Committee on Corrections and the House Committee on Insurance, and is a member of the Republican, Rural, Water, Criminal Justice Reform, Energy and Climate, and Healthcare Affordability Caucuses.House District 12 is comprised of Grimes, Madison, Robertson, Walker, Washington, and part of Brazos Counties. Trey’s strong leadership and lifelong commitment to service make him a steadfast advocate for the values and needs of the people in District 12.",https://house.texas.gov/members/member-page/?district=12,https://house.texas.gov/members/4795/biography,https://house.texas.gov/images/members/4795.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A4795,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A4795,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A4795,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A4795
13,Angelia Orr,"Room E1.220, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0600,"214 E. Elm Street, Hillsboro, Texas 76645",(254) 580-9008,https://house.texas.gov/members/4340/email,"Rep. Angelia Orr is currently serving her first term as State Representative for House District 13. This new House District includes Hill, Bosque, Falls, Limestone, Freestone, Leon and a portion of McLennan Counties. Angelia is a wife, mother and small business owner. She and her husband, Will, live in Hill County where his family has farmed and ranched since 1872. They have two grown children, attend First Baptist Church Hillsboro, and run several successful small businesses.A 1992 graduate of Texas A&M University, Angelia has dedicated her life to raising her family and serving her community. A former substitute teacher and strong advocate for local public schools, Angelia was elected to the Itasca School Board in 2007 and went on to serve two terms as secretary. In 2010, she decided to run for District Clerk in Hill County, winning a competitive, three-person primary before defeating a five-term incumbent.After the Texas Legislature completed redistricting in 2021, Angelia was encouraged by local residents and community leaders to run in the newly formed House District 13. As State Representative, Angelia is committed to being a strong voice and advocate for rural Texas. During the 88th Legislative Session, Rep. Orr serves on the Appropriations, County Affairs and House Administration Committees.",https://house.texas.gov/members/member-page/?district=13,https://house.texas.gov/members/4340/biography,https://house.texas.gov/images/members/4340.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A4340,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A4340,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A4340,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A4340
14,Paul Dyson,,,,,,,https://house.texas.gov/members/member-page/?district=14,https://house.texas.gov/members/4475/biography,https://house.texas.gov/images/members/4475.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A4475,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A4475,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A4475,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A4475
